Statistical profiling result from isolate-0x102004600-v8.log, (1169 ticks, 124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.2%  Stub: CompareICStub
      1    0.1%    0.2%  Stub: CallICStub(args(6), ANY, 
      1    0.1%    0.2%  LazyCompile: ~test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1    0.1%    0.2%  LazyCompile: ~send /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:33:15
      1    0.1%    0.2%  LazyCompile: ~realpathSync fs.js:1566:40
      1    0.1%    0.2%  LazyCompile: ~module.exports /Users/jimdebeer/dev/play/base/lib/index.js:15:40
      1    0.1%    0.2%  LazyCompile: ~isProperty /Users/jimdebeer/dev/play/base/lib/set/property/definition/is.js:21:38
      1    0.1%    0.2%  LazyCompile: ~exports.src /Users/jimdebeer/dev/play/stamp/lib/index.js:75:24
      1    0.1%    0.2%  LazyCompile: ~exports.setKey /Users/jimdebeer/dev/play/base/lib/set/property/index.js:17:27
      1    0.1%    0.2%  LazyCompile: ~emitContext /Users/jimdebeer/dev/play/observable/lib/emitter/emit/context.js:30:22
      1    0.1%    0.2%  LazyCompile: ~append internal/linkedlist.js:51:16
      1    0.1%    0.2%  LazyCompile: ~addToInstances /Users/jimdebeer/dev/play/base/lib/instances.js:10:18
      1    0.1%    0.2%  LazyCompile: ~Script.runInThisContext vm.js:19:45
      1    0.1%    0.2%  LazyCompile: ~Module.load module.js:449:33
      1    0.1%    0.2%  LazyCompile: ~Module._load module.js:383:24
      1    0.1%    0.2%  LazyCompile: ~GetHash native collection.js:91:17
      1    0.1%    0.2%  LazyCompile: ~Buffer.allocUnsafe buffer.js:134:30
      1    0.1%    0.2%  LazyCompile: *toString /Users/jimdebeer/dev/play/base/lib/method/toString.js:26:12
      1    0.1%    0.2%  LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1    0.1%    0.2%  LazyCompile: *send /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:33:15
      1    0.1%    0.2%  LazyCompile: *module.exports.State.on.data.stamp /Users/jimdebeer/dev/play/brisky-hub/lib/sync/index.js:15:23
      1    0.1%    0.2%  LazyCompile: *get /Users/jimdebeer/dev/play/base/lib/context/parent.js:33:7
      1    0.1%    0.2%  LazyCompile: *filter /Users/jimdebeer/dev/play/state/lib/inject.js:18:12
      1    0.1%    0.2%  LazyCompile: *exec /Users/jimdebeer/dev/play/brisky-hub/test/performance/index.js:13:14
      1    0.1%    0.2%  LazyCompile: *doit /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:72:21
      1    0.1%    0.2%  LazyCompile: *addToInstances /Users/jimdebeer/dev/play/base/lib/instances.js:10:18
      1    0.1%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      1    0.1%    0.2%  Handler: symbol("nonexistent_symbol" hash 615b271)
      1    0.1%    0.2%  Handler: stamp
      1    0.1%    0.2%  Handler: setKey
      1    0.1%    0.2%  Handler: port
      1    0.1%    0.2%  Handler: parent {2}
      1    0.1%    0.2%  Handler: parent {1}
      1    0.1%    0.2%  Handler: parent
      1    0.1%    0.2%  Handler: hasOwnProperty {NaN}
      1    0.1%    0.2%  Handler: filter
      1    0.1%    0.2%  Handler: charCodeAt
      1    0.1%    0.2%  Handler: cParent
      1    0.1%    0.2%  Handler: birthtime
      1    0.1%    0.2%  Handler: _keys
      1    0.1%    0.2%  Handler: An IC handler from the snapshot {3}
      1    0.1%    0.2%  Handler: An IC handler from the snapshot
      1    0.1%    0.2%  Builtin: JSConstructEntryTrampoline
      1    0.1%    0.2%  Builtin: FunctionPrototypeCall
      1    0.1%    0.2%  Builtin: DateConstructor_ConstructStub
      1    0.1%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
      1    0.1%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.1%    0.2%  Builtin: ArrayIsArray
      1    0.1%    0.2%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
    298   25.5%   70.6%  JavaScript
      0    0.0%    0.0%  C++
     60    5.1%   14.2%  GC
    747   63.9%          Shared libraries
    124   10.6%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
    643   55.0%  /Users/jimdebeer/.nvm/versions/node/v6.3.1/bin/node
    583   90.7%    /Users/jimdebeer/.nvm/versions/node/v6.3.1/bin/node
     50    8.6%      LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
     33   66.0%        LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     33  100.0%          LazyCompile: ~collection /Users/jimdebeer/dev/play/state/lib/subscribe/any.js:5:38
     28   84.8%            LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      5   15.2%            LazyCompile: ~item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     17   34.0%        LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
     17  100.0%          LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     17  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
     39    6.7%      LazyCompile: ~serialize /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:16:37
     20   51.3%        LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
     19   95.0%          LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
     19  100.0%            LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1    5.0%          LazyCompile: ~test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1  100.0%            LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     17   43.6%        LazyCompile: *update /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:61:25
     17  100.0%          LazyCompile: ~create /Users/jimdebeer/dev/play/state/lib/subscribe/val.js:15:34
     17  100.0%            LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      2    5.1%        LazyCompile: *doit /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:72:21
      2  100.0%          LazyCompile: ~update /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:61:25
      2  100.0%            LazyCompile: ~create /Users/jimdebeer/dev/play/state/lib/subscribe/val.js:15:34
     35    6.0%      LazyCompile: *exec /Users/jimdebeer/dev/play/brisky-hub/test/performance/index.js:13:14
     35  100.0%        LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
     35  100.0%          LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     35  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
     30    5.1%      LazyCompile: ~fs.readSync fs.js:701:23
     30  100.0%        LazyCompile: tryReadSync fs.js:482:21
     30  100.0%          LazyCompile: ~fs.readFileSync fs.js:494:27
     30  100.0%            LazyCompile: ~Module._extensions..js module.js:548:37
     29    5.0%      LazyCompile: ~merge /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:4:16
     29  100.0%        LazyCompile: ~merge /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:4:16
     29  100.0%          LazyCompile: ~serialize /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:16:37
     16   55.2%            LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
     10   34.5%            LazyCompile: *update /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:61:25
      2    6.9%            LazyCompile: *doit /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:72:21
      1    3.4%            LazyCompile: *up /Users/jimdebeer/dev/play/state/lib/subscribe/val.js:8:30
     28    4.8%      LazyCompile: ~parse native json.js:51:19
     27   96.4%        LazyCompile: ~socket.onmessage /Users/jimdebeer/dev/play/brisky-hub/lib/upstream/connect.js:33:22
     27  100.0%          LazyCompile: ~_dispatchEvent /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/websocket/node_modules/yaeti/lib/EventTarget.js:79:24
     27  100.0%            LazyCompile: ~onMessage /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/websocket/lib/W3CWebSocket.js:232:19
      1    3.6%        LazyCompile: ~setupConfig internal/process.js:102:21
      1  100.0%          LazyCompile: ~startup bootstrap_node.js:12:19
      1  100.0%            Function: ~<anonymous> bootstrap_node.js:10:10
     25    4.3%      LazyCompile: ~runInThisContext bootstrap_node.js:361:28
     25  100.0%        LazyCompile: NativeModule.compile bootstrap_node.js:443:44
     25  100.0%          LazyCompile: ~NativeModule.require bootstrap_node.js:377:34
      4   16.0%            LazyCompile: ~setupGlobalVariables bootstrap_node.js:197:32
      3   12.0%            Function: ~<anonymous> tls.js:1:11
      2    8.0%            Function: ~<anonymous> util.js:1:11
      2    8.0%            Function: ~<anonymous> tty.js:1:11
      2    8.0%            Function: ~<anonymous> stream.js:1:11
      2    8.0%            Function: ~<anonymous> module.js:1:11
      2    8.0%            Function: ~<anonymous> http.js:1:11
      2    8.0%            Function: ~<anonymous> cluster.js:1:11
      1    4.0%            LazyCompile: ~startup bootstrap_node.js:12:19
      1    4.0%            LazyCompile: ~Module._load module.js:383:24
      1    4.0%            Function: ~<anonymous> timers.js:1:11
      1    4.0%            Function: ~<anonymous> https.js:1:11
      1    4.0%            Function: ~<anonymous> crypto.js:1:11
      1    4.0%            Function: ~<anonymous> child_process.js:1:11
     24    4.1%      LazyCompile: ~exports.runInThisContext vm.js:75:36
     24  100.0%        LazyCompile: ~Module._compile module.js:481:37
     24  100.0%          LazyCompile: ~Module._extensions..js module.js:548:37
     24  100.0%            LazyCompile: ~Module.load module.js:449:33
     19    3.3%      LazyCompile: *getPath /Users/jimdebeer/dev/play/base/lib/method/shared.js:45:18
     19  100.0%        LazyCompile: *module.exports.State.on.data.stamp /Users/jimdebeer/dev/play/brisky-hub/lib/sync/index.js:15:23
     19  100.0%          LazyCompile: *set /Users/jimdebeer/dev/play/observable/lib/observable/set.js:22:9
     19  100.0%            LazyCompile: *<anonymous> /Users/jimdebeer/dev/play/util/define.js:79:14
     18    3.1%      LazyCompile: stringify native json.js:162:23
     10   55.6%        LazyCompile: ~socketSend /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:78:21
     10  100.0%          LazyCompile: ~process.nextTick /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:43:22
     10  100.0%            LazyCompile: ~_combinedTickCallback internal/process/next_tick.js:65:33
      8   44.4%        LazyCompile: *toString /Users/jimdebeer/dev/play/base/lib/method/toString.js:26:12
      8  100.0%          Stub: CEntryStub {1}
      5   62.5%            LazyCompile: *exec /Users/jimdebeer/dev/play/brisky-hub/test/performance/index.js:13:14
      3   37.5%            LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
     16    2.7%      LazyCompile: *set /Users/jimdebeer/dev/play/brisky-hub/lib/sync/set.js:7:9
     16  100.0%        LazyCompile: *<anonymous> /Users/jimdebeer/dev/play/util/define.js:79:14
     13   81.3%          LazyCompile: *exports.setKeyInternal /Users/jimdebeer/dev/play/base/lib/set/property/internal.js:16:35
     13  100.0%            LazyCompile: *exports.setKey /Users/jimdebeer/dev/play/base/lib/set/property/index.js:17:27
      1    6.3%          LazyCompile: ~module.exports /Users/jimdebeer/dev/play/base/lib/index.js:15:40
      1  100.0%            LazyCompile: *derivedBase /Users/jimdebeer/dev/play/base/lib/constructor.js:37:31
      1    6.3%          LazyCompile: ~exports.setKeyInternal /Users/jimdebeer/dev/play/base/lib/set/property/internal.js:16:35
      1  100.0%            LazyCompile: *exports.setKey /Users/jimdebeer/dev/play/base/lib/set/property/index.js:17:27
      1    6.3%          LazyCompile: *module.exports /Users/jimdebeer/dev/play/base/lib/index.js:15:40
      1  100.0%            LazyCompile: *derivedBase /Users/jimdebeer/dev/play/base/lib/constructor.js:37:31
     13    2.2%      LazyCompile: *exec :2:21
     12   92.3%        LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
     12  100.0%          LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
     12  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
      1    7.7%        LazyCompile: ~test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1  100.0%          LazyCompile: ~item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32

    124   10.6%  UNKNOWN
     22   17.7%    /Users/jimdebeer/.nvm/versions/node/v6.3.1/bin/node
      9   40.9%      LazyCompile: ~send /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/uws/uws.js:196:9
      5   55.6%        LazyCompile: ~socketSend /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:78:21
      5  100.0%          LazyCompile: ~process.nextTick /Users/jimdebeer/dev/play/brisky-hub/lib/client/send.js:43:22
      5  100.0%            LazyCompile: ~_combinedTickCallback internal/process/next_tick.js:65:33
      4   44.4%        LazyCompile: ~offset /Users/jimdebeer/dev/play/brisky-hub/lib/offset/server.js:4:34
      4  100.0%          LazyCompile: socket.on.e /Users/jimdebeer/dev/play/brisky-hub/lib/downstream/server/create/index.js:10:26
      4  100.0%            LazyCompile: ~Server.nativeServer.onMessage /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/uws/uws.js:394:37
      6   27.3%      LazyCompile: ~WebSocketConnection.processFrame /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/websocket/lib/WebSocketConnection.js:504:54
      6  100.0%        LazyCompile: ~<anonymous> /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/websocket/lib/WebSocketConnection.js:321:30
      6  100.0%          LazyCompile: ~_combinedTickCallback internal/process/next_tick.js:65:33
      6  100.0%            LazyCompile: ~_tickCallback internal/process/next_tick.js:87:25
      3   13.6%      LazyCompile: ~socket.on /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/uws/uws.js:444:32
      3  100.0%        LazyCompile: ~emitOne events.js:94:17
      3  100.0%          LazyCompile: ~emit events.js:136:44
      3  100.0%            LazyCompile: ~_handle.close net.js:490:24
      1    4.5%      LazyCompile: ~isProperty /Users/jimdebeer/dev/play/base/lib/set/property/definition/is.js:21:38
      1  100.0%        LazyCompile: *exports.setKey /Users/jimdebeer/dev/play/base/lib/set/property/index.js:17:27
      1  100.0%          LazyCompile: ~exports.set /Users/jimdebeer/dev/play/base/lib/set/index.js:13:24
      1  100.0%            LazyCompile: *set /Users/jimdebeer/dev/play/observable/lib/observable/set.js:22:9
      1    4.5%      LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      1  100.0%        LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1  100.0%          LazyCompile: ~collection /Users/jimdebeer/dev/play/state/lib/subscribe/any.js:5:38
      1  100.0%            LazyCompile: ~item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1    4.5%      LazyCompile: *hasOwnProperty native v8natives.js:83:30
